At_gene	NAME	root1_log_fold	root3_log_fold	root5_log_fold	shoot1_log_fold	shoot3_log_fold	shoot5_log_fold
AT1G10190	Putative uncharacterized protein At1g10190	0	0	0	0	0	0
AT1G10200	WLIM1	-0.3777100055	-0.01945429	0	0	0	-0.68915251375
AT1G10210	MPK1	0	0	0	0	0	0.620312228
AT1G10220	BEST Arabidopsis thaliana protein match is: ZCF37 (TAIR:AT1G59590.1); Has 43 Blast hits to 43 proteins in 15 species: Archae - 0; Bacteria - 2; Metazoa - 7; Fungi - 0; Plants - 27; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink).	0.829460397	5.449848806	1.934925393	0	0	1.08658912133333
AT1G10270	Pentatricopeptide repeat-containing protein At1g10270	0	0	0	0	0	0
AT1G10280	At1g10280	0	0	0	0	0	0.55909493325
AT1G10290	DRP2A	0	0.777081136857143	0	0	0	0.352924163571429
AT1G10300	Nucleolar GTP-binding protein 1	0	-0.296935914666667	0	0	0	0
AT1G10310	NADPH-dependent pterin aldehyde reductase	0	0	0	0	0	0
AT1G10320	Zinc finger CCCH domain-containing protein 5	0	-0.432092872	0	0	0	-0.3244494895
AT1G10330	Putative pentatricopeptide repeat-containing protein At1g10330	0	0	2.4926809015	0	0	0
AT1G10340	Ankyrin repeat-containing protein	0	0	0	0.431388399	0.369886258714286	0
AT1G10350	F14N23.23	0	0	0	0	0	0
AT1G10360	Glutathione S-transferase U18	0	0.9167069435	0	0	0	0
AT1G10370	Glutathione S-transferase U17	3.90678156166667	4.16551103466667	0.430128738	0	0	-1.755608954
AT1G10380	At1g10380/F14N23_32	0	0	0	0	0	0
AT1G10385	Exocyst complex component EXO84A	0	0	0	0	0	0
AT1G10390	Nuclear pore complex protein NUP98A	0	0.2113714615	0	0	0	0
AT1G10400	UDP-glycosyltransferase 90A2	0	0	0	0	0	0
AT1G10410	At1g10410/F14N23_31	0.6742313516	1.2003738014	0.298124697	1.1385876722	0	2.0757883128
AT1G10417	Encodes protein with unknown function whose expression is repressed by inoculation with Agrobacterium tumerifaciens.	0	0	0	0	0	0
AT1G10430	Serine/threonine-protein phosphatase PP2A-2 catalytic subunit	0	1.18025908025	0	0	0.22791102	0
AT1G10450	Paired amphipathic helix protein Sin3-like 6	0	0	0	0	0	0
AT1G10470	Two-component response regulator ARR4	-1.46110433014286	0	0	-0.568572857	0	0
AT1G10480	ZFP5	0	0	0	0	0	1.6085758375
AT1G10490	RNA cytidine acetyltransferase 1	0	-0.4558129645	0	0	0	0
AT1G10500	AT1G10500 protein	0.650879624666667	0.880159251333333	0.373267612333333	0	0	0
AT1G10510	Emb2004	0	0	0	0	0	-0.2961515745
AT1G10520	DNA polymerase lambda	0	-0.692186900333333	0	0	0	0
AT1G10522	Protein PLASTID REDOX INSENSITIVE 2	0	-0.850288803	0	0	0	-0.7982270425
AT1G10530	At1g10530	0	3.187148572	0	0	0	0
AT1G10550	Probable xyloglucan endotransglucosylase/hydrolase protein 33	0	0	0	0	0	0
AT1G10560	U-box domain-containing protein 18	0	0	0	0	0	0
AT1G10570	Ubiquitin-like-specific protease 1C	0	0	0	0	0	0
AT1G10580	At1g10580	0	0	0	0	0	0
AT1G10586	Transcription factor bHLH168	0	0	0	0	0	0
AT1G10590	Nucleic acid-binding, OB-fold-like protein	0	0	0	0	0	0
AT1G10600	AMSH2	0	0	0	0	0	0
AT1G10610	Transcription factor bHLH90	0	0	0	0	0	0
AT1G10620	PERK11	0	0	0	0	0	0
AT1G10630	ADP-ribosylation factor A1F	0	-0.338491358	0	0	0	0.533080295
AT1G10640	Pectin lyase-like protein	-0.3355574495	-0.855515849833333	-1.43782953316667	-0.624854184666667	0	-0.833327191
AT1G10650	Putative S-ribonuclease binding protein SBP1	0	0	0	0	0	0
AT1G10657	Putative uncharacterized protein	0	0	0	0	0	-1.391896809
AT1G10660	AT1G10660 protein	0	0	0	-0.4919431495	0	0
AT1G10670	ATP-citrate lyase A-1	0	0	0	0	0	0
AT1G10680	ABC transporter B family member 10	0	0	0	0	0	0
AT1G10700	Ribose-phosphate pyrophosphokinase 3, chloroplastic	1.3276512165	1.4500276255	0	0	0	0.592432308
AT1G10710	Protein POOR HOMOLOGOUS SYNAPSIS 1	0	0	0	0	0	0
AT1G10720	BSD domain-containing protein	0	0.1535847294	0	0	0	0
AT1G10730	AP-1 complex subunit mu-1	0	0	0	0	0	0
AT1G10740	Alpha/beta-Hydrolases superfamily protein	-0.54527226375	0.384929378	-0.574132553	-1.097403422	0	-0.52283976525
AT1G10750	Putative carboxyl-terminal peptidase	0	0	0	0	0	0
AT1G10760	Alpha-glucan water dikinase 1, chloroplastic	-0.6164352752	0	0	-0.3618835198	0.1923005394	0.3544926064
AT1G10770	At1g10770	0	0	0	0	0	0
AT1G10780	F-box/RNI-like superfamily protein	0	0	0	0	0	0
AT1G10790	F20B24.21	0	0	0	0	0	0
AT1G10800	F20B24.22	0	0	0	0	0	0
AT1G10810	Probable aldo-keto reductase 1	0	0	0	0	0	0
AT1G10820	Protein of unknown function (DUF3755)	-0.331119832166667	0	0	0	0	0
AT1G10830	15-cis-zeta-carotene isomerase, chloroplastic	0	0	0	0	0	-0.603063916
AT1G10840	Eukaryotic translation initiation factor 3 subunit H	0	-0.309112312142857	0	0	0	0
AT1G10850	Leucine-rich repeat protein kinase-like protein	-1.387949423	-1.3828634155	0	0	0	-1.6920084425
AT1G10865	Putative uncharacterized protein	2.5490526455	0	0	2.2555485885	-1.6972132985	0
AT1G10870	ARF-GAP domain 4	0	0	0	-0.506996092	0	0
AT1G10880	Putative uncharacterized protein At1g10880	3.3855420025	3.342471451	1.4182080755	2.148619558	3.0622265805	1.8338639965
AT1G10890	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: petal, flower, leaf; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, petal differentiation and expans /.../age; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G13340.1); Has 11769 Blast hits to 8435 proteins in 698 species: Archae - 22; Bacteria - 971; Metazoa - 5937; Fungi - 1065; Plants - 592; Viruses - 101; Other Eukaryotes - 3081 (source: NCBI BLink).	0	0	0	0	0	0
AT1G10900	Phosphatidylinositol 4-phosphate 5-kinase 7	0.4086331745	0.287945383	0	0	0	0
AT1G10910	Pentatricopeptide repeat-containing protein At1g10910, chloroplastic	0	-0.913036514	0	0	0	0
AT1G10920	Putative inactive disease susceptibility protein LOV1	0	0	0	0	0	0
AT1G10930	ATP-dependent DNA helicase Q-like 4A	0	-0.269279077666667	0	0	0	0
AT1G10940	Serine/threonine-protein kinase SRK2A	0	0	0	0	0	0
AT1G10950	Transmembrane 9 superfamily member 1	-0.109176109733333	-0.4012965126	-0.0901476259333333	0	0	-0.101327795533333
AT1G10960	FD1	0	0	0	0	0	-0.729400375333333
AT1G10970	Zinc transporter 4, chloroplastic	0	0	0	0	0	0
AT1G11000	MLO-like protein 4	0	0	0	0	0	-1.373581012
AT1G11020	Putative uncharacterized protein At1g11020	0	0	0	0	0	0
AT1G11040	DNAJ chaperone C-terminal domain-containing protein	0	0	0	0	0	0
AT1G11050	Probable receptor-like protein kinase At1g11050	1.905184364	2.550943757	0	2.8339915935	1.2981234775	3.285007895
AT1G11060	WAPL (Wings apart-like protein regulation of heterochromatin) protein	0	0.191661032	0	0	0	0
AT1G11070	BEST Arabidopsis thaliana protein match is: Hydroxyproline-rich glycoprotein family protein (TAIR:AT1G61080.1); Has 579 Blast hits to 567 proteins in 152 species: Archae - 0; Bacteria - 68; Metazoa - 159; Fungi - 113; Plants - 172; Viruses - 0; Othe /.../ryotes - 67 (source: NCBI BLink).	0	0	0	0	0	0
AT1G11080	Carboxypeptidase	-3.97659388625	0	-1.65374013925	0	0.81955611525	2.88169149425
AT1G11090	Alpha/beta-hydrolase-like protein	0	0.38327162175	0	0	0	0
AT1G11120	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G09812.1); Has 270 Blast hits to 255 proteins in 62 species: Archae - 0; Bacteria - 2; Metazoa - 93; Fungi - 14; Plants - 126; Viruses - 0; Other Eukaryotes - 35 ( /.../: NCBI BLink).	0	-0.678649499	0	0	0	0
AT1G11125	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G61170.1).	0	0	0	0	0	0
AT1G11130	Leucine-rich repeat receptor-like protein kinase	0	-0.4018945748	0	0	0	-0.2368856744
AT1G11160	Katanin p80 WD40 repeat-containing subunit B1 homolog	0	0.61254900325	0	0	0	0
AT1G11170	At1g11170/T28P6_16	0.589370376	0.70397434625	0.362048865	0.59985165075	0.5796339105	0.858709151
AT1G11180	Secretory carrier membrane protein (SCAMP) family protein	0	0	0	0	0	0
AT1G11190	ENDO1	0	1.956684025	0	0	0	3.741403529
AT1G11200	Protein of unknown function (DUF300)	0	0	0	0.5944881715	0	0.7426642805
AT1G11240	Putative uncharacterized protein	0	-0.61205993	0	0	0	0
AT1G11250	Syntaxin-125	0	0	0	0	0	0
AT1G11260	STP1	0.7755813555	2.57774277225	0.63171787375	0	0.90618022675	0
AT1G11270	F-box protein At1g11270	0	0	0	0	0	0
AT1G11280	S-locus lectin protein kinase family protein	-0.18509080925	0	0	0	0	0
AT1G11290	Pentatricopeptide repeat-containing protein At1g11290, chloroplastic	0	0	0	0	0	0
AT1G11300	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11300	0	0	0.87118300075	0	1.3255551285	2.23975386275
AT1G11303	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11303	0	0	0	0	0	0
AT1G11310	MLO-like protein	0.7817675102	1.651501009	0.2461173884	0	0.9407964626	1.31397938
AT1G11320	Putative uncharacterized protein At1g11320	0	0	0	0	0	0
AT1G11330	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330	0.525664265428571	0.0486517903333333	0	0.417408379904762	0.0515994922380952	0.776745650333333
AT1G11340	G-type lectin S-receptor-like serine/threonine-protein kinase RKS1	0	0	0	0	0	-0.194109197333333
AT1G11350	G-type lectin S-receptor-like serine/threonine-protein kinase SD1-13	0	0	0	0	0	1.832459081
AT1G11360	AT1G11360 protein	0	0	0	0	0	0
AT1G11380	At1g11380	0	0	0	-2.412767702	0	-1.747855692
AT1G11390	AarF domain-containing kinase	0	0	0	0	0	0
AT1G11400	PYM	0	0.269260261	0	0	0	0
AT1G11410	S-locus lectin protein kinase family protein	0	0	0	-0.929306478	0	0
AT1G11420	DUF724 domain-containing protein 2	0	0	0	0	0	-1.2500023075
AT1G11430	Multiple organellar RNA editing factor 9, chloroplastic	-0.3276871002	-0.4521390778	0	-0.1986234742	0	-1.119658096
AT1G11475	DNA-directed RNA polymerases II, IV and V subunit 10	0	0	0	0	0	0
AT1G11480	At1g11480/T23J18_15	0	0	0	0	0	0.6436690685
AT1G11490	C2H2 type zinc finger protein	0	0	0	0	0	0
AT1G11500	Protein of unknown function (DUF1218)	0	0	0	0	0	0
AT1G11530	CXXS1	2.005821042	1.496942886	0	-1.581941139	0	0
AT1G11545	Probable xyloglucan endotransglucosylase/hydrolase protein 8	-2.301411267	0	-1.08492974	0	0	-1.3118688965
AT1G11560	Probable dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 3A	0	0	0	0	0	0
AT1G11570	NTF2-like	0	0	0	0	0	0
AT1G11572	Plant thionin family protein	0	0	0	0	0	0
AT1G11580	methylesterase PCR A	0	0	0	-0.6878918635	0	0
AT1G11600	Cytochrome P450 like protein	0	0	0	0	0	-0.31943307725
AT1G11610	Cytochrome P450 71A18	0	0	0	0	0	0
AT1G11630	Pentatricopeptide repeat-containing protein At1g11630, mitochondrial	0	0	0	0	0	0
AT1G11650	Polyadenylate-binding protein RBP45B	0	0	0	0	0	0
AT1G11655	At1g11655	0	0	0	0	0	0
AT1G11660	Heat shock 70 kDa protein 16	-0.2336604335	0	0	-0.242393564	0	0
AT1G11670	Protein DETOXIFICATION 36	0	0.7217902392	0	1.4163506264	0.8158284946	1.2573516614
AT1G11680	Sterol 14-demethylase	0	-0.548055504714286	-0.341398406857143	0	0	0
AT1G11690	F25C20.16	0	0	0	0	0	0
AT1G11700	At1g11700	-1.931802357	-1.22532810633333	0	0	0	0
AT1G11710	Pentatricopeptide repeat-containing protein At1g11710, mitochondrial	0	0	0	0	0	0
AT1G11720	SS3	0	-0.161597366	-0.346994462	-0.8511783396	0	-0.5184252466
AT1G11730	Probable beta-1,3-galactosyltransferase 1	0	0	0	0	0	0
AT1G11750	ATP-dependent Clp protease proteolytic subunit	0	0	0	0	0	0
AT1G11755	Cis-prenyltransferase, dehydrodolichyl diphosphate synthase	0	0	0	0	0	0.6982125455
AT1G11770	Berberine bridge enzyme-like 2	1.9190261	0	0	0	0	0
AT1G11780	Alpha-ketoglutarate-dependent dioxygenase alkB	0	0	0	0	0	0
AT1G11790	Arogenate dehydratase	0	0	0	-0.51313697875	0	-0.50938783475
AT1G11800	At1g11800/F25C20_3	0	0	0	0	0	0
AT1G11810	F-box protein At1g11810	0	0	0	0	0	0
AT1G11820	Glucan endo-1,3-beta-glucosidase 1	-1.575106181	-0.9985398035	0	0	0	-2.357391169
AT1G11840	Lactoylglutathione lyase	-0.895462683333333	0	0	0	0	0
AT1G11860	Glycine cleavage T-protein family	-0.53710864	-0.518935507	-0.301264739	-1.73721323125	0	-2.57358625075
AT1G11870	SRS	0	0	0	0	0	-0.3253374735
AT1G11880	GPI mannosyltransferase 2	0.496561919	0.07896960275	0	0	0	0
AT1G11890	SEC22	0	0.451276981166667	0.177709664	0	0	0
AT1G11900	Pentatricopeptide repeat-containing protein At1g11900	0	0	0	0	0	0
AT1G11905	B-cell receptor-associated protein 31-like protein	0	0	0	0	0	0
AT1G11910	aspartic proteinase A1	0	0.1885007084	0	0	0.7711497676	0.7546126142
AT1G11915	F12F1.23 protein	0	0	0	0	0	0
AT1G11920	Putative pectate lyase 2	0	0	0	0	0	0
AT1G11925	F12F1.21 protein	7.716804706	7.10715946833333	0	0	0	2.508747162
AT1G11930	At1g11930/F12F1_20	0	0	0	0	0	0
AT1G11940	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	0	0	0	0	0	0
AT1G11950	Putative uncharacterized protein At1g11950	0	0	0	0	0	0
AT1G11960	Hyperosmolality-gated Ca2+ permeable channel 1.3	-1.8096570795	0.8955908245	0	0	1.1754993335	2.850306784
AT1G11990	O-fucosyltransferase family protein	0	0	0	0	0	0
AT1G12000	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta	-0.165088168166667	-0.508620878	0	0	0	0
AT1G12010	1-aminocyclopropane-1-carboxylate oxidase 3	0	0	0	0	0	0
AT1G12020	F12F1.11	1.95953031125	0	0	0	0	0
AT1G12030	At1g12030	1.41449634725	1.5691204695	0	0	0	-1.057846294
AT1G12040	Leucine-rich repeat extensin-like protein 1	-0.731708536333333	0.9114135805	-0.9036063465	0	0	0
AT1G12050	At1g12050/F12F1_8	0	0	0	0	0	0.60561893575
AT1G12060	BAG family molecular chaperone regulator 5, mitochondrial	0	0	0	0	0	0
AT1G12064	Putative uncharacterized protein	0	0	0	0	0	0
AT1G12070	At1g12070	0	0	0	0	0	0
AT1G12090	ELP	-2.258212145	-0.47579094275	-2.17743090075	-1.209004167	0	-3.4272028355
AT1G12100	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-1.802841141	-2.407730494	-2.505235723	0	0	0
AT1G12110	NRT1.1	0	0.29690755075	0	0	0	-0.539378701625
AT1G12120	Putative uncharacterized protein At1g12120	0	0	0	0	0	0
AT1G12140	Flavin-containing monooxygenase FMO GS-OX5	-0.64155511475	0	0	0	0	0
AT1G12150	WEB family protein At1g12150	0	0	0	0	0	0
AT1G12200	Flavin-containing monooxygenase	6.39399937475	4.335251171	0.8931125025	4.67701401025	1.04163632725	5.92846558025
AT1G12210	Disease resistance protein RFL1	0	0.297627187	0	-0.34894887	0	0
AT1G12220	Disease resistance protein RPS5	0	0	0	0	0	0
AT1G12230	Transaldolase-like protein	-0.327444216	-0.364835834	0	0	0	0
AT1G12240	Acid beta-fructofuranosidase 4, vacuolar	-0.15705957125	2.50143774625	1.57843608975	-0.53138167575	1.2465420465	1.488007932
AT1G12244	Putative holliday junction resolvase	0	0	0	0	0	0
AT1G12250	Thylakoid lumenal protein TL20.3, chloroplastic	0	-0.8818713705	0	-0.7942249325	0	-0.7450989975
AT1G12260	NAC domain-containing protein 7	0	0	0	0	0	0
AT1G12280	Probable disease resistance protein At1g12280	0.144356117307692	0	0	0	0	0.277020712461538
AT1G12290	Probable disease resistance protein At1g12290	0	0	0	0	0	0
AT1G12300	Pentatricopeptide repeat-containing protein At1g12300, mitochondrial	0	0	0	0	0	0
AT1G12310	Probable calcium-binding protein CML13	0	-0.21105015425	0	0	0	0
AT1G12320	F5O11.5	-0.474425695333333	0	0	0	0	0
AT1G12330	F5O11.6	0	0	0	0	0	-0.430865430142857
AT1G12360	SNARE-interacting protein KEULE	0	0.2688641612	0	0.3063673552	0	0
AT1G12370	Deoxyribodipyrimidine photo-lyase	0	0	0	0	0	0
AT1G12380	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G62870.1); Has 173 Blast hits to 170 proteins in 34 species: Archae - 0; Bacteria - 4; Metazoa - 25; Fungi - 8; Plants - 123; Viruses - 7; Other Eukaryotes - 6 (so /.../NCBI BLink).	-1.023882789	0	0	0	0	0
AT1G12390	Protein cornichon homolog 4	0	0	0	0	0	0
AT1G12400	Nucleotide excision repair, TFIIH, subunit TTDA	0	0	0	0	0	0
AT1G12410	ATP-dependent Clp protease proteolytic subunit-related protein 2, chloroplastic	0	0	0	-0.217078497833333	0	-0.377746619
AT1G12420	ACT domain-containing protein ACR8	0	0	0	0	0	0
AT1G12430	Kinesin-like protein	-0.6917899055	0	0	0	0	-1.5294716485
AT1G12450	At1g12450	0	0	0	-0.198492982666667	0	0
AT1G12460	Probable LRR receptor-like serine/threonine-protein kinase At1g12460	0	0	0	0	0	0
AT1G12470	Zinc ion binding protein	0	0	0	0	0	0
AT1G12480	SLAC1	0	0	0	0	0	0
AT1G12500	Probable sugar phosphate/phosphate translocator At1g12500	-0.3610037235	-0.40048999125	-0.647983867	-0.36265752375	0	-2.0955642895
AT1G12520	Copper chaperone for superoxide dismutase, chloroplastic/cytosolic	0.9179897535	1.10498493725	0	0	0	0
AT1G12530	MOS9	0	0	0	0	0	0
AT1G12540	Transcription factor bHLH55	0	0	0	0	0	0
AT1G12550	Glyoxylate/hydroxypyruvate reductase HPR3	0.463282498	0	0	0	0	0
AT1G12560	EXPA7	-0.364745611166667	2.67108855116667	-0.734696921833333	0	0	0
AT1G12570	At1g12570	0	0	0	0	0	0
AT1G12580	At1g12580/T12C24_10	0.26300385075	0.57306797325	0	0	0	0
AT1G12600	UDP-galactose/UDP-glucose transporter 4	0	0	1.4171232985	0	0	0
AT1G12610	Dehydration-responsive element-binding protein 1F	0	0	0	0	0	0
AT1G12620	Pentatricopeptide repeat-containing protein At1g12620	0	3.673788665	0	0	0	0
AT1G12640	Lysophospholipid acyltransferase 1	0	0.3190579355	0	0	0	0
AT1G12650	At1g12650/T12C24_1	0	0	0	0	0	0
AT1G12660	Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the plant thionin (PR-13) family with the following members: At1g66100, At5g36910, At1g72260, At2g15010, At1g12663, At1g12660.	0	0	0	0	0	0
AT1G12672	unknown protein; LOCATED IN: endomembrane system; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G12663.1); Has 4 Blast hits to 4 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 4; Viruses - 0; /.../ Eukaryotes - 0 (source: NCBI BLink).	0	0	0	0	0	0
AT1G12680	Serine/threonine-protein kinase PEPKR2	0	0.1992067065	0	0	0.15081233975	0
AT1G12700	ATP binding;nucleic acid binding;helicases	0	0	0	0	0	0
AT1G12710	phloem protein 2-A12	0	0	0	0	0	0
AT1G12740	T12C24.27	-0.47712881225	2.50071112125	0	0	0	0
AT1G12760	E3 ubiquitin-protein ligase At1g12760	0	0.524140657333333	0	0	0.0852069655555556	0.122360886
AT1G12770	DEAD-box ATP-dependent RNA helicase 47, mitochondrial	0	0	0	0	0	-1.1652142655
AT1G12775	Pentatricopeptide repeat-containing protein At1g12775, mitochondrial	0	0	0	0	0	0
AT1G12780	Bifunctional UDP-glucose 4-epimerase and UDP-xylose 4-epimerase 1	1.7896238806	2.1467467078	0.543951959	0	0.9248690124	-0.131835566
AT1G12790	Protein PARTING DANCERS	0	1.913619236	0	0	0	0
AT1G12800	Nucleic acid-binding, OB-fold-like protein	0	0.7498542122	0	-0.4365706574	0	-0.456741129
AT1G12810	Proline-rich family protein	0	0.5481969285	0	0	0	0
AT1G12820	Protein AUXIN SIGNALING F-BOX 3	0.2253739762	0.1713676994	0	0	0	0
AT1G12830	F13K23.8 protein	0	0	0	0	0	0
AT1G12840	V-type proton ATPase subunit C	0	0	0	0	0	0
AT1G12845	At1g12845	0	0	0	0	0	0
AT1G12850	At1g12850/F13K23_8	0	0	0	0	0	0
AT1G12855	Putative F-box protein At1g12855	0	0	0	0	0	0
AT1G12860	Transcription factor SCREAM2	0	0	0	-0.35350451625	0	-1.104253111
AT1G12880	NUDT12	0	-0.428925821166667	0	0	0	0
AT1G12900	glyceraldehyde 3-phosphate dehydrogenase A subunit 2	-1.224129814	0	0	-0.8810381075	0	-1.66206681275
AT1G12910	WD repeat-containing protein LWD1	0	0	0	0	0	0
AT1G12920	Eukaryotic peptide chain release factor subunit 1-2	0	0	0	0	0	0
AT1G12930	Exportin 1-like protein domain-containing protein	0	0	0	0	0	-0.29301377675
AT1G12940	High affinity nitrate transporter 2.5	0	0	0	0	0	0
AT1G12950	Protein DETOXIFICATION 31	0	0	0	0	0	0
AT1G12970	Plant intracellular Ras-group-related LRR protein 3	0	0	0	0	0	0
AT1G12980	Ethylene-responsive transcription factor ESR1	0	0	0	0	0	0
AT1G12990	Beta-1,4-N-acetylglucosaminyltransferase family protein	-0.8735079365	0	0	0	0	0
AT1G13000	Putative uncharacterized protein At1g13000	0.4577800295	0	0	0	0	0
AT1G13020	eIF4B2	0	-0.56048767325	0	0	0	0
AT1G13030	Coilin	0	0	0	0	0	0
AT1G13040	Pentatricopeptide repeat-containing protein At1g13040, mitochondrial	0	0	0	0	0	0
AT1G13050	F3F19.7	0	0	0	0	0	0
AT1G13060	20S proteasome beta subunit E1	0	-0.13349976825	0	0	0	0
AT1G13080	Cytochrome P450 71B2	0	0.313510778666667	0.0571996265	0.431059017888889	0.628291977777778	0.880340147333333
AT1G13090	CYP71B28	-0.926622374333333	0	0	0	0.425232407666667	0
AT1G13100	Cytochrome P450 71B29	0	1.02513532475	0	0	0	0.67165023275
AT1G13110	CYP71B7	1.64215632171429	2.00121208971429	0.764819570142857	0.507360127	1.41526412514286	1.83634117985714
AT1G13120	Protein GLE1	0	-0.202397240666667	0	0	0	0
AT1G13130	At1g13130	0	0	0	0	0	0
AT1G13150	Cytochrome P450, family 86, subfamily C, polypeptide 4	0	0	0	0	0	0
AT1G13160	NUC130/3NT and SDA1 domain-containing protein	0	-0.478216966	0	0	0	0
AT1G13170	Oxysterol binding protein-related protein 1D	-0.853248077666667	-0.447998094333333	-1.11405684033333	0	0	-0.40858026
AT1G13180	Actin-related protein 3	0	0	0	0	0	0
AT1G13190	F3F19.21 protein	0	0.38185271925	0	0	0	0
AT1G13195	At1g13195	1.0058965085	1.4382343645	0	0.62223536725	0	0.4744633585
AT1G13200	Putative F-box/kelch-repeat protein At1g13200	0	0	0	0	0	0
AT1G13210	Probable phospholipid-transporting ATPase 11	0.3125362725	2.00749414675	0.671304013	1.4450571775	0.394644082	2.118170855
AT1G13220	nuclear matrix constituent protein-related	0	0	0	0	0	0
AT1G13230	Piriformospora indica-insensitive protein 2	0	0	0	0	0	0
AT1G13250	Probable galacturonosyltransferase-like 3	-1.516857425	-1.168259891	0	0	0	0
AT1G13260	AP2/ERF and B3 domain-containing transcription factor RAV1	2.79556054	2.42441814775	0	0	0	0
AT1G13270	Methionine aminopeptidase 1B, chloroplastic	0	0	0	-0.145630060857143	0	-0.183959090285714
AT1G13280	Allene oxide cyclase 4, chloroplastic	0	0	0	0	0	-0.4913393425
AT1G13290	Zinc finger protein WIP6	0	0	0	0	0	0
AT1G13300	Transcription factor HRS1	0	0	0	0	0	0.5242950752
AT1G13310	Endosomal targeting BRO1-like domain-containing protein	0	0	0	0	0	0
AT1G13330	AHP2	0	0	0	0	0	0
AT1G13340	Putative uncharacterized protein At1g13340	1.490969236	1.66378623483333	0.724127361666667	0	0.694217408166667	1.72708624333333
AT1G13360	Putative uncharacterized protein At1g13360	0	0.6522156395	0	0	0	0.5499292255
AT1G13380	Expressed protein	0	-0.385016914333333	0	0	0	-0.473901446
AT1G13400	Zinc finger protein JAGGED-like	0	0	0	0	0	0
AT1G13410	Pentatricopeptide repeat-containing protein	0	0	0	0	0	0
AT1G13420	Cytosolic sulfotransferase 8	0	0	0	0	0	0
AT1G13440	Glyceraldehyde-3-phosphate dehydrogenase	0	0	0	0	0	0
AT1G13450	Trihelix transcription factor GT-1	0	0.3258248215	0	0	0	0
AT1G13460	Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' theta isoform	0	0	0	0	0	0
AT1G13470	Protein of unknown function (DUF1262)	2.009384876	3.3735010685	2.0108815585	2.271148551	1.909646831	3.856289513
AT1G13490	F13B4.1 protein	0	0	0	0	0	0
AT1G13520	At1g13520	2.29981714866667	5.20738601616667	2.89071812483333	0.772440604333333	2.879912178	5.47180310333333
AT1G13530	Protein of unknown function (DUF1262)	0	0	0	0	0	0
AT1G13540	At1g13540	0	0	0	0	0	0
AT1G13550	Putative uncharacterized protein	2.81482258	0	0	0	0	0
AT1G13560	ATAAPT1	-0.3590556325	-0.3923993745	0	0	0	0
AT1G13570	F-box/FBD/LRR-repeat protein At1g13570	0	0	0	0	0	0
AT1G13580	LOH3	0	0	0	0	0	0
AT1G13590	Phytosulfokines 1	0	0	0	0	0	0
AT1G13600	BZIP58	0	-0.3051272405	-0.32055713425	0	0	0
AT1G13610	Alpha/beta-hydrolase-like protein	0	0	0	0	0	0
AT1G13620	Root meristem growth factor 2	0	0	0	0	0	0
AT1G13630	Tetratricopeptide repeat (TPR)-like superfamily protein	0	0	0	0	0	0
AT1G13635	Putative 3-methyladenine glycosylase I	-1.539340698	0	0	0	0	0
AT1G13640	Phosphatidylinositol 4-kinase gamma 6	-1.782087879	0	0	0	0	0
AT1G13680	F21F23.12 protein	0	0	0	0	0	0
AT1G13700	Probable 6-phosphogluconolactonase 1	0	0	0	0	0	0
AT1G13710	Cytochrome P450 78A5	-4.9740672195	-1.1435941785	0	0	0	0
AT1G13740	AFP2	0	0	0	0	0	0
AT1G13750	Probable inactive purple acid phosphatase 1	0	0	0	0	0.6417122655	1.0153055835
AT1G13770	RUS3	0	0	0	0	0	0
AT1G13780	F-box/FBD/LRR-repeat protein At1g13780	1.792698757	0	0	0	0	0
AT1G13790	Factor of DNA methylation 4	0	-0.986324198	0	0	0	0
AT1G13820	Alpha/beta-Hydrolases superfamily protein	0	0	0	-1.7423952105	0	-1.734522275
AT1G13830	Carbohydrate-binding X8 domain superfamily protein	0	0.931110797333333	0	1.48783124766667	0.963839471333333	3.078840217
AT1G13860	Probable methyltransferase PMT4	-0.475400415333333	-0.307841614	0	0	0	-0.297194301
AT1G13870	Protein KTI12 homolog	0	0	0	0	0	0
AT1G13880	ELM2 domain-containing protein	0.420926907333333	1.94194149633333	0	0	0	0
AT1G13890	Putative SNAP25 homologous protein SNAP30	0	0	0	0	0	0
